Energy [MeV],Yield per lethargy [1/u],Relative error [-]
6.0,0.0,0.0
7.0,6.38,0.37799999999999995
8.0,7.186,0.162
9.0,7.12,0.033
10.0,6.731,0.107
11.0,6.401,0.142
12.0,6.199,0.14400000000000002
13.0,6.052,0.11800000000000001
14.0,5.872,0.08900000000000001
15.0,5.626,0.09699999999999999
16.0,5.423,0.156
17.0,5.496,0.231
18.0,6.038,0.263
19.0,7.065,0.22399999999999998
20.0,8.437,0.141
21.0,9.976,0.071
22.0,11.58,0.111
23.0,13.21,0.145
24.0,14.9,0.161
25.0,16.55,0.159
26.0,17.98,0.146
27.0,18.95,0.132
28.0,19.33,0.121
29.0,19.26,0.11699999999999999
30.0,19.09,0.11800000000000001
31.0,19.3,0.122
32.0,20.19,0.12300000000000001
33.0,21.8,0.12
34.0,23.92,0.114
35.0,26.16,0.10800000000000001
36.0,28.19,0.10400000000000001
37.0,29.82,0.10099999999999999
38.0,31.04,0.098
39.0,32.01,0.092
40.0,32.98,0.084
41.0,34.24,0.073
42.0,36.02,0.064
43.0,38.43,0.057
44.0,41.45,0.052000000000000005
46.0,46.58,0.048
48.0,52.37,0.047
50.0,53.91,0.048
52.0,49.71,0.059000000000000004
54.0,43.07,0.08
56.0,46.93,0.064
58.0,86.36,0.033
60.0,182.0,0.039
62.0,313.7,0.027000000000000003
64.0,409.7,0.012
66.0,398.6,0.015
68.0,283.1,0.027999999999999997
70.0,141.4,0.034
